antibody_name,y_true,fold,esmc_model__Ridge_abserr,esmc_model__Ridge_pred,esmc_model__Ridge_high_err,esmc_model_abserr,esmc_model_pred,esmc_model_high_err,esmc_model__ElasticNet_abserr,esmc_model__ElasticNet_pred,esmc_model__ElasticNet_high_err,esmc_model__SVR_rbf_abserr,esmc_model__SVR_rbf_pred,esmc_model__SVR_rbf_high_err,prost_t5_model__Ridge_abserr,prost_t5_model__Ridge_pred,prost_t5_model__Ridge_high_err,prost_t5_model_abserr,prost_t5_model_pred,prost_t5_model_high_err,prost_t5_model__ElasticNet_abserr,prost_t5_model__ElasticNet_pred,prost_t5_model__ElasticNet_high_err,prost_t5_model__SVR_rbf_abserr,prost_t5_model__SVR_rbf_pred,prost_t5_model__SVR_rbf_high_err,prot_t5_model__Ridge_abserr,prot_t5_model__Ridge_pred,prot_t5_model__Ridge_high_err,prot_t5_model_abserr,prot_t5_model_pred,prot_t5_model_high_err,prot_t5_model__ElasticNet_abserr,prot_t5_model__ElasticNet_pred,prot_t5_model__ElasticNet_high_err,prot_t5_model__SVR_rbf_abserr,prot_t5_model__SVR_rbf_pred,prot_t5_model__SVR_rbf_high_err,protbert_model__Ridge_abserr,protbert_model__Ridge_pred,protbert_model__Ridge_high_err,protbert_model_abserr,protbert_model_pred,protbert_model_high_err,protbert_model__ElasticNet_abserr,protbert_model__ElasticNet_pred,protbert_model__ElasticNet_high_err,protbert_model__SVR_rbf_abserr,protbert_model__SVR_rbf_pred,protbert_model__SVR_rbf_high_err,ankh_model__Ridge_abserr,ankh_model__Ridge_pred,ankh_model__Ridge_high_err,ankh_model_abserr,ankh_model_pred,ankh_model_high_err,ankh_model__ElasticNet_abserr,ankh_model__ElasticNet_pred,ankh_model__ElasticNet_high_err,ankh_model__SVR_rbf_abserr,ankh_model__SVR_rbf_pred,ankh_model__SVR_rbf_high_err,n_models_high_err
farletuzumab,464.78,1,192.3082067743,272.47179322569997,1.0,243.147661580554,221.63233841944597,1.0,191.47147540602538,273.3085245939746,1.0,224.69860374122243,240.08139625877754,1.0,256.00157204427586,208.7784279557241,1.0,219.0372138677501,245.74278613224988,1.0,243.04492527700378,221.7350747229962,1.0,223.08980826951995,241.69019173048002,1.0,204.90894327959876,259.8710567204012,1.0,206.22101405358967,258.5589859464103,1.0,196.85865672888144,267.92134327111853,1.0,219.16056348987445,245.61943651012552,1.0,254.8012824151064,209.97871758489356,1.0,210.98054964788957,253.7994503521104,1.0,204.25893129908764,260.52106870091234,1.0,228.596454853855,236.18354514614498,1.0,195.61352873922442,269.16647126077555,1.0,177.36812080972015,287.4118791902798,1.0,191.00189366964725,273.7781063303527,1.0,215.6137406346597,249.16625936534027,1.0,20.0
romosozumab,393.92,0,220.51477435777707,173.40522564222294,1.0,149.69964092686055,244.22035907313946,1.0,183.22408083645206,210.69591916354796,1.0,169.5990145574326,224.3209854425674,1.0,236.3208542401144,157.59914575988563,1.0,205.21527190868358,188.70472809131644,1.0,215.27378237682944,178.64621762317057,1.0,196.92345185570986,196.99654814429016,1.0,234.9770516476064,158.9429483523936,1.0,164.84326439073067,229.07673560926935,1.0,214.26097798854835,179.65902201145167,1.0,184.4381844202122,209.48181557978782,1.0,174.9229263541223,218.99707364587772,1.0,141.6311373405922,252.2888626594078,1.0,165.69551043206815,228.22448956793187,1.0,159.83981591837585,234.08018408162417,1.0,216.50723070980274,177.41276929019728,1.0,159.51429607188987,234.40570392811014,1.0,191.9139654416635,202.00603455833652,1.0,197.6857517158229,196.2342482841771,1.0,20.0
cabiralizumab,57.13,3,226.58842905794313,283.7184290579431,1.0,184.11011787858627,241.24011787858626,1.0,175.12087850469248,232.25087850469248,1.0,186.52042699796962,243.65042699796962,1.0,231.54882218353526,288.67882218353526,1.0,171.62584660109823,228.75584660109823,1.0,199.94616201671715,257.07616201671715,1.0,170.07686398628388,227.20686398628388,1.0,219.15177347119482,276.2817734711948,1.0,190.55364154606792,247.68364154606792,1.0,195.71892716486383,252.84892716486382,1.0,179.9819473507326,237.1119473507326,1.0,162.679327884764,219.809327884764,1.0,190.33288408372732,247.46288408372732,1.0,158.70957458658398,215.83957458658398,1.0,184.12864033873873,241.25864033873873,1.0,231.39181471614904,288.52181471614904,1.0,181.62613564923686,238.75613564923685,1.0,183.89386469898707,241.02386469898707,1.0,177.0998517997878,234.2298517997878,1.0,20.0
inotuzumab,637.93,0,389.52128519031885,248.4087148096811,1.0,414.7393994733501,223.19060052664986,1.0,391.22519371354116,246.7048062864588,1.0,422.1455954042531,215.78440459574688,1.0,326.37325751701184,311.5567424829881,1.0,430.23992552425705,207.69007447574288,1.0,367.4209447928224,270.50905520717754,1.0,440.10822048352134,197.8217795164786,1.0,411.32417548641166,226.6058245135883,1.0,398.38863922097823,239.5413607790217,1.0,397.7297723669337,240.20022763306628,1.0,423.057417070602,214.87258292939796,1.0,412.7174326191898,225.2125673808101,1.0,421.39133930511525,216.53866069488473,1.0,422.90913291109234,215.02086708890758,1.0,430.1478774583958,207.7821225416042,1.0,384.062402608433,253.86759739156693,1.0,414.6578749093746,223.27212509062537,1.0,394.9016570210274,243.02834297897252,1.0,442.8812494278498,195.04875057215014,1.0,20.0
icrucumab,46.59,2,251.60279881651323,298.19279881651323,1.0,175.41316025316218,222.00316025316218,1.0,207.59606093564184,254.18606093564185,1.0,185.2368427174594,231.8268427174594,1.0,187.45260023963291,234.04260023963292,1.0,132.19331874829743,178.78331874829743,1.0,150.0202775875513,196.6102775875513,1.0,182.30195671993968,228.89195671993969,1.0,276.61575197211073,323.2057519721107,1.0,171.76906374441722,218.35906374441723,1.0,209.62167066712502,256.211670667125,1.0,189.74909680445776,236.33909680445777,1.0,283.76699586050233,330.3569958605023,1.0,183.7678987477235,230.3578987477235,1.0,206.9776378281526,253.5676378281526,1.0,187.99939552304102,234.58939552304102,1.0,229.95964379675948,276.5496437967595,1.0,194.51872316655763,241.10872316655764,1.0,195.31770231194125,241.90770231194125,1.0,194.84668053786385,241.43668053786385,1.0,20.0
olokizumab,516.74,1,310.4492062332562,206.29079376674386,1.0,285.0148543904488,231.72514560955122,1.0,281.04486869506434,235.6951313049357,1.0,276.2651223731831,240.47487762681695,1.0,244.18886691430401,272.551133085696,1.0,280.29468587397486,236.44531412602515,1.0,245.26017378270285,271.47982621729716,1.0,275.079951079912,241.66004892008803,1.0,279.2026816125191,237.5373183874809,1.0,304.8687727872258,211.87122721277422,1.0,261.2232557840926,255.5167442159074,1.0,280.6903143954984,236.04968560450166,1.0,251.05655187005118,265.68344812994883,1.0,277.2786064230994,239.46139357690063,1.0,286.4351837221377,230.3048162778623,1.0,292.5032376726642,224.2367623273358,1.0,349.4012399807267,167.3387600192733,1.0,282.7308775627954,234.00912243720458,1.0,309.09064377464915,207.64935622535083,1.0,268.5014515708492,248.2385484291508,1.0,20.0
orticumab,700.57,3,243.77110449854302,456.798895501457,1.0,395.9049191931643,304.66508080683576,1.0,300.3113419746902,400.25865802530984,1.0,439.77839038327386,260.7916096167262,1.0,221.53793978973715,479.0320602102629,1.0,396.5157296434779,304.0542703565221,1.0,278.59809221570686,421.9719077842932,1.0,443.6500655242055,256.91993447579455,1.0,274.9297310877257,425.64026891227434,1.0,374.7327464682763,325.8372535317238,1.0,318.45207227052225,382.1179277294778,1.0,443.890281778439,256.6797182215611,1.0,306.3746729269744,394.1953270730256,1.0,399.931905008198,300.63809499180206,1.0,335.8387506363315,364.73124936366855,1.0,443.580464586492,256.98953541350807,1.0,188.10122824367284,512.4687717563272,1.0,377.90639576414355,322.6636042358565,1.0,276.02205967566823,424.5479403243318,1.0,441.2602173625563,259.30978263744373,1.0,20.0
figitumumab,571.63,2,451.3206572355316,120.30934276446841,1.0,366.05911826402144,205.57088173597856,1.0,402.23923954647967,169.39076045352033,1.0,343.4724958794503,228.15750412054965,1.0,381.0016159278183,190.6283840721817,1.0,347.4448569934347,224.18514300656528,1.0,387.359369973761,184.27063002623902,1.0,348.05928602870677,223.57071397129323,1.0,410.0660287871938,161.56397121280622,1.0,356.27257694358536,215.3574230564146,1.0,378.71350319600924,192.91649680399073,1.0,346.10793015776187,225.52206984223815,1.0,283.51153876290977,288.11846123709023,1.0,333.31700296642424,238.31299703357575,1.0,343.126021063661,228.503978936339,1.0,338.20730056123836,233.42269943876164,1.0,330.35261380936447,241.27738619063555,1.0,356.0330669689133,215.59693303108668,1.0,319.4245784906857,252.20542150931433,1.0,330.794252458458,240.83574754154202,1.0,20.0
lexatumumab,52.18,4,440.7086448614621,492.8886448614621,1.0,300.5053525070717,352.6853525070717,1.0,415.2620694068262,467.4420694068262,1.0,178.27802265977007,230.45802265977008,1.0,417.81077508201855,469.99077508201856,1.0,300.39375641330076,352.57375641330077,1.0,375.077632258644,427.257632258644,1.0,176.91081006919492,229.09081006919493,1.0,414.25212740196747,466.4321274019675,1.0,280.30098590867414,332.48098590867414,1.0,354.9038909909566,407.0838909909566,1.0,178.00926837123876,230.18926837123877,1.0,433.44256182949476,485.62256182949477,1.0,319.0299407154491,371.2099407154491,1.0,384.7593998883188,436.9393998883188,1.0,191.6094360745549,243.7894360745549,1.0,450.9440216550983,503.1240216550983,1.0,311.7070118614402,363.8870118614402,1.0,375.0017464047827,427.1817464047827,1.0,187.30263471571558,239.4826347157156,1.0,20.0
eptinezumab,642.34,0,261.8462043931407,380.49379560685935,1.0,406.57375053868543,235.76624946131463,1.0,359.1872391909392,283.15276080906085,1.0,417.894153762217,224.44584623778303,1.0,166.8345567530705,475.50544324692953,1.0,368.0061423347994,274.33385766520064,1.0,252.91535193374295,389.4246480662571,1.0,400.3192799379233,242.02072006207675,1.0,288.06628613863234,354.2737138613677,1.0,371.2529891153969,271.08701088460316,1.0,356.7254698299439,285.6145301700561,1.0,407.27581978662636,235.06418021337367,1.0,318.1128131943566,324.22718680564344,1.0,422.02799321841894,220.31200678158112,1.0,404.9480460462287,237.39195395377138,1.0,448.5499732984913,193.79002670150876,1.0,341.47346906848634,300.8665309315137,1.0,368.2351613260853,274.10483867391474,1.0,351.868438994433,290.471561005567,1.0,408.34726370021417,233.9927362997859,1.0,20.0
