feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho
CDR and ankh_model,SVR_rbf,ankh_model,-0.028191763564740402,124.23455502736077,-0.061151102136473456
CDR and esmc_model,SVR_rbf,esmc_model,-0.02689757932601644,124.15634343553467,-0.046623380533379506
CDR and prost_t5_model,SVR_rbf,prost_t5_model,-0.03129890763030696,124.42212872938146,-0.07666424569322172
CDR and prot_t5_model,SVR_rbf,prot_t5_model,-0.02741240996447525,124.187462157311,-0.03628392199735609
CDR and protbert_model,SVR_rbf,protbert_model,-0.028048904185366652,124.22592400706405,-0.02802650797268887
ankh_model,SVR_rbf,ankh_model,-0.02770050412347591,124.20487248562246,-0.056915382544182394
esmc_model,SVR_rbf,esmc_model,-0.026633166525569685,124.14035808284518,-0.03979224387031638
prost_t5_model,SVR_rbf,prost_t5_model,-0.03137993287183227,124.42701632062759,-0.07484066013893256
prot_t5_model,SVR_rbf,prot_t5_model,-0.027214463898765473,124.17549831325915,-0.03458647215582207
protbert_model,SVR_rbf,protbert_model,-0.02786865012502071,124.21503288664229,-0.024999044056508987
